lv1,lv2,lvrel,att1,att2,attrel,tech1,tech2,techrel,n1,n2,nrel,y
11.4,9.0,1.27,2802.6,1068.0,2.62,5.2,4.0,1.3,5,3,1.67,1.0
10.67,11.29,0.95,1837.5,2108.86,0.87,4.83,5.29,0.91,6,7,0.86,0.0
7.0,14.0,0.5,540.0,2100.0,0.26,4.0,6.0,0.67,1,1,1.0,0.0
16.0,15.0,1.07,2184.0,2787.0,0.78,7.0,1.0,7.0,1,4,0.25,0.0
7.0,8.75,0.8,630.0,1663.75,0.38,4.0,1.0,4.0,1,4,0.25,0.0
2.0,9.5,0.21,240.0,1533.33,0.16,1.0,4.5,0.22,1,6,0.17,0.0
17.0,11.33,1.5,3168.0,1770.33,1.79,1.0,1.0,1.0,1,3,0.33,0.0
10.0,10.71,0.93,1870.0,1946.57,0.96,4.67,5.14,0.91,3,7,0.43,0.0
8.0,10.0,0.8,800.0,1350.0,0.59,4.0,4.0,1.0,1,1,1.0,0.0
7.0,3.0,2.33,864.0,300.0,2.88,4.0,2.0,2.0,1,1,1.0,1.0
9.0,13.25,0.68,1770.0,2743.5,0.65,4.5,5.88,0.77,4,8,0.5,0.0
2.0,5.0,0.4,240.0,640.0,0.38,1.0,3.0,0.33,1,1,1.0,0.0
7.5,8.5,0.88,966.0,1343.0,0.72,3.5,4.0,0.88,2,4,0.5,0.0
6.0,20.0,0.3,560.0,4752.0,0.12,3.0,9.0,0.33,1,1,1.0,0.0
6.0,12.33,0.49,560.0,2634.67,0.21,3.0,5.67,0.53,1,3,0.33,0.0
9.62,15.0,0.64,1379.38,4590.0,0.3,4.25,6.5,0.65,8,2,4.0,1.0
