lv1,lv2,lvrel,att1,att2,attrel,tech1,tech2,techrel,n1,n2,nrel,y
7.0,1.0,7.0,720.0,180.0,4.0,4.0,1.0,4.0,1,1,1.0,1.0
8.0,15.0,0.53,1152.0,3120.0,0.37,4.0,7.0,0.57,1,1,1.0,0.0
18.0,13.62,1.32,4032.0,2468.12,1.63,8.0,1.0,8.0,1,8,0.12,0.0
8.0,18.0,0.44,1000.0,3564.0,0.28,4.0,1.0,4.0,1,1,1.0,0.0
16.0,9.0,1.78,3168.0,1152.0,2.75,7.0,4.0,1.75,1,1,1.0,1.0
13.0,7.0,1.86,2016.0,888.33,2.27,1.0,3.33,0.3,1,3,0.33,0.0
3.0,7.0,0.43,400.0,700.0,0.57,2.0,1.0,2.0,1,1,1.0,0.0
13.0,13.0,1.0,2304.0,3312.0,0.7,6.0,6.0,1.0,1,2,0.5,0.0
3.0,11.83,0.25,288.0,2676.67,0.11,1.0,5.33,0.19,1,6,0.17,0.0
8.0,15.67,0.51,980.0,3182.33,0.31,4.0,1.0,4.0,1,6,0.17,0.0
11.0,3.0,3.67,1188.0,288.0,4.12,5.0,2.0,2.5,1,1,1.0,1.0
9.0,9.29,0.97,1008.0,1913.43,0.53,1.0,4.29,0.23,1,7,0.14,0.0
5.0,10.8,0.46,533.33,2236.0,0.24,2.67,5.0,0.53,3,5,0.6,0.0
20.0,12.0,1.67,6300.0,1680.0,3.75,9.0,5.0,1.8,1,1,1.0,1.0
8.8,10.25,0.86,1436.8,1630.25,0.88,4.2,4.88,0.86,5,8,0.62,0.0
8.0,11.0,0.73,900.0,1919.5,0.47,4.0,5.12,0.78,1,8,0.12,0.0
2.0,9.71,0.21,227.0,1650.71,0.14,1.0,4.57,0.22,3,7,0.43,0.0
1.0,14.0,0.07,192.0,2880.0,0.07,1.0,6.0,0.17,1,1,1.0,0.0
8.0,13.67,0.59,875.0,2576.0,0.34,4.0,6.33,0.63,1,3,0.33,0.0
4.0,9.0,0.44,360.0,1050.0,0.34,1.0,1.0,1.0,1,1,1.0,0.0
10.29,14.0,0.73,2182.86,3515.57,0.62,4.859999999999999,6.43,0.76,7,7,1.0,0.0
6.0,12.17,0.49,600.0,2215.0,0.27,3.0,5.67,0.53,1,6,0.17,0.0
18.0,15.0,1.2,4928.0,3150.0,1.56,8.0,7.0,1.14,1,1,1.0,1.0
13.0,13.0,1.0,1728.0,2160.0,0.8,1.0,6.0,0.17,1,1,1.0,0.0
14.0,17.25,0.81,3799.5,4782.0,0.79,6.5,8.0,0.81,4,4,1.0,0.0
2.0,12.33,0.16,189.0,1688.0,0.11,1.0,1.0,1.0,1,3,0.33,0.0
15.0,14.12,1.06,2577.0,3137.25,0.82,1.0,6.5,0.15,4,8,0.5,0.0
5.0,14.0,0.36,420.0,1584.0,0.27,3.0,1.0,3.0,1,1,1.0,0.0
10.0,6.0,1.67,792.0,864.0,0.92,4.0,3.0,1.33,1,2,0.5,1.0
17.0,1.0,17.0,4608.0,180.0,25.6,8.0,1.0,8.0,1,1,1.0,1.0
8.71,11.2,0.78,1294.57,1764.0,0.73,4.29,1.0,4.29,7,5,1.4,1.0
9.0,19.0,0.47,1350.0,4320.0,0.31,4.0,1.0,4.0,1,1,1.0,0.0
8.83,8.67,1.02,1182.0,1386.67,0.85,4.0,1.0,4.0,6,6,1.0,1.0
1.0,16.0,0.06,192.0,2835.0,0.07,1.0,1.0,1.0,1,1,1.0,0.0
3.0,18.0,0.17,400.0,4410.0,0.09,2.0,8.0,0.25,1,1,1.0,0.0
12.0,13.0,0.92,1536.0,1728.0,0.89,1.0,1.0,1.0,1,1,1.0,0.0
11.0,12.38,0.89,1632.0,2053.12,0.79,4.5,1.0,4.5,2,8,0.25,0.0
12.57,8.12,1.55,3050.57,1176.75,2.59,6.0,3.75,1.6,7,8,0.88,1.0
15.0,3.0,5.0,3528.0,320.0,11.03,7.0,2.0,3.5,1,1,1.0,1.0
9.0,14.0,0.64,1080.0,2160.0,0.5,1.0,1.0,1.0,1,1,1.0,0.0
2.0,13.0,0.15,240.0,2852.0,0.08,1.0,6.0,0.17,1,3,0.33,0.0
5.0,13.0,0.38,420.0,2477.5,0.17,3.0,5.88,0.51,1,8,0.12,0.0
14.0,11.0,1.27,2160.0,1260.0,1.71,6.0,5.0,1.2,1,1,1.0,1.0
15.0,4.0,3.75,3456.0,375.0,9.22,7.0,2.0,3.5,1,1,1.0,1.0
6.0,11.57,0.52,540.0,2482.29,0.22,1.0,5.43,0.18,1,7,0.14,0.0
10.67,11.57,0.92,1696.67,2492.0,0.68,1.0,5.43,0.18,6,7,0.86,0.0
20.0,9.0,2.22,4608.0,960.0,4.8,9.0,4.0,2.25,1,1,1.0,1.0
9.0,13.5,0.67,980.0,2560.0,0.38,4.0,6.25,0.64,1,4,0.25,0.0
19.0,1.0,19.0,6600.0,192.0,34.38,9.0,1.0,9.0,1,1,1.0,1.0
12.0,8.0,1.5,1440.0,840.0,1.71,5.0,4.0,1.25,1,1,1.0,1.0
14.0,10.0,1.4,2240.0,1170.0,1.91,6.0,4.0,1.5,1,1,1.0,1.0
11.0,9.0,1.22,1715.0,1050.0,1.63,5.0,4.0,1.25,1,1,1.0,1.0
19.0,9.62,1.98,4320.0,1354.75,3.19,1.0,1.0,1.0,1,8,0.12,0.0
5.0,18.0,0.28,768.0,3000.0,0.26,3.0,8.0,0.38,1,1,1.0,0.0
